"filename", "language", "java", "comment", "blank", "total"
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/StDevotionEntity.java", "java", 57, 0, 15, 72
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/StNameEntity.java", "java", 48, 0, 13, 61
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/StSatisfactionEntity.java", "java", 57, 0, 15, 72
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/StTimeEntity.java", "java", 93, 0, 23, 116
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/StTypeEntity.java", "java", 57, 9, 15, 81
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/StatisticTemplateEntity.java", "java", 86, 1, 21, 108
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/SubTaskEntity.java", "java", 55, 0, 13, 68
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/TimeLimitEntity.java", "java", 63, 9, 15, 87
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/TrackEntity.java", "java", 64, 0, 15, 79
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/UnfinishedPlanEntity.java", "java", 39, 9, 9, 57
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/entity/UserEntity.java", "java", 49, 0, 11, 60
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/service/LimitService.java", "java", 80, 21, 23, 124
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/service/LoginService.java", "java", 13, 0, 5, 18
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/service/PlanService.java", "java", 170, 36, 34, 240
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/service/StatisticService.java", "java", 133, 62, 28, 223
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/utils/ClassConvert.java", "java", 107, 14, 18, 139
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/main/java/com/swithun/backend/utils/DateUtil.java", "java", 44, 13, 9, 66
"/home/swithun/project/vscode/java/spring boot/time_manager_system/backend/backend/src/test/java/com/swithun/backend/BackendApplicationTests.java", "java", 61, 9, 15, 85
"Total", "-", 2690, 677, 628, 3995
